Col
0.70046
0.30806
0.87641
0.28021
0.70783
0.20678
0.65171
0.26323
0.67014
0.77001
0.68173
0.81947
0.8481
0.68031
0.68924
0.4222
0.78862
0.63028
0.49172
0.45689
0.26585
0.80886
0.5826
0.80092
0.66622
0.29402
0.376
0.52386
0.3075
0.69101
0.62423
0.82802
0.8328
0.82605
0.66857
0.58918
0.57653
0.81035
0.29384
0.26881
0.78368
0.70994
0.48838
0.65499
0.84676
0.26803
0.49504
