Col
4.337
36.442
46.844
36.806
42.913
4.253
3.841
3.972
37.971
46.205
49.636
41.793
4.834
41.256
41.268
5.189
52.035
51.925
40.344
40.459
43.025
49.001
41.711
40.902
40.523
36.958
43.878
4.732
41.462
4.527
49.135
48.428
4.728
41.525
39.951
43.282
37.956
44.125
42.256
46.387
49.179
40.734
37.405
44.265
41.801
37.589
40.897
